,prompt,model_name,file_name
0,"Students playing video games on their gadgets, with one of them looking worried, another one — enthusiastic, and the third one — aloof.",v8_latent_finetune,0.png
1,a fall-themed still-life with a clay vase on an antique table In the vase there are fall leaves and bunches of rowan berries Two apples and a small pumpkin in the foreground The still-life is reflected in the mirror The still-life has brown background The still-life is on a dense beige fabric,v8_latent_finetune,1.png
2,"Russian bear and wolf both communists in winter hats playing laser tag, indoors with a bright background, headband glowing, both smiling, like a photograph",v8_latent_finetune,2.png
3,"Hyperrealistic photography of an black and goldpink sparcling rose flower in the style of David LaChapelle, with dark chocolate, highly detailed and maximalist, with water droplets on it against a black background, hyperrealistic., illustration, conceptual art",v10_rl_09_lcm_lora_s8r64,3.png
4,"A pager with a screen  like a skeletonized watch but without a dial  in steampunk style. Round, with a display, along the border  is an engraving: ""Виталию на долгую память.""",v10_rl_09_lcm_lora_s8r64,4.png
5,"double exposure portrait photography, nature mountains lakes rivers waterfalls",v10_rl_09_lcm_lora_s8r64,5.png
6,"Create an image that depicts a “Generator” — an artificial intelligence capable of creating images from user text prompts. This Generator is situated within a vast hall surrounded by multifarious screens displaying various scenes and images it has previously created. Around it, engineers and programmers vigilantly monitor its operation, calibrating the parameters of the created images. The focal point for the viewer happens to be the Generator itself. It’s a colossal machine with numerous blink",v10_rl_09_lcm_lora_s8r64,6.png
7,"A photo of a highly detailed, eerie yet elegant female figure with an oni (Japanese demon) inspired aesthetic. She is wearing a traditional kimono adorned with intricate red, white, and gold patterns. Her face is pale and expressionless, featuring sharp red markings and delicate ornaments, including a central red jewel on her forehead. Two large, red horns extend from her head, flanked by a pair of ornate masks on either side. Her long, black hair flows down, partially covering her face, while golden accessories and a red, ornate chest piece add to the regal, otherworldly presence. The background is dark.",v10_rl_09_lcm_lora_s8r64,7.png
8,"four cartoon characters against a mountain backdrop, wearing traditional Kyrgyz national costumes: a blonde boy with blue eyes, a girl with pink hair, a girl with dark hair, and a boy with dark hair and mustache.",v8_latent_finetune,8.png
9,"berry lemonade made of jam with juice balls at the bottom, blueberry, to-go plastic cup 450 ml, side view no lid, frontal, ice on top, unstirred, max photorealism",v8_latent_finetune,9.png
10,"drawing of a modern CNC machine tool, a worker in protective clothing next to it, the screen of the machine stand is visible and contains some graphs or data to emphasize that the process is highly technological",v8_latent_finetune,10.png
11,a bull terrier next to a shepherd dog,v8_latent_finetune,11.png
12,"A short girl with amber-brown eyes turns around, drawing graffiti with the word “Мантра” in a wild style. There's hip-hop atmosphere all around - the brick walls are covered with brightly colored street art, and there's energy in the air. The girl is dressed in casual streetwear, and the bold and intricate graffiti conveys the raw and creative spirit of the streets. The scene is permeated with hip-hop culture.",v10_rl_09_lcm_lora_s8r64,12.png
13,logo with separate images of Ice as ice floes and snowflakes Air as leaves in the wind Lightning as lightning bolts Earth as crystals and stones,v10_rl_09_lcm_lora_s8r64,13.png
14,a guy with beige skin double eyelids drooping eye corners snub nose thin lips broad-shouldered,v10_rl_09_lcm_lora_s8r64,14.png
15,"vibrant autumn, a path winding through autumn trees and rowan trees, in the middle of the path stands a bench, and on it sits a short woman with a short haircut, the style is realism, high-quality graphics, precise, detailed rendering",v8_latent_finetune,15.png
16,"Imagine a poster with colorful images showing various ways of quitting smoking: fruit in place of cigarettes, smiling people with no bad habits, inviting inscriptions ""Жить!"" and ""Здоровье - это счастье"".",v8_latent_finetune,16.png
17,"a scientific representation of a short DNA strand as a polymer model, matte plastic, stylization, futurism, uniform background

Octane render, f/2.8, ISO 200",v8_latent_finetune,17.png
18,a trash polka style tattoo illustration featuring script of programming code Included in the design is a laptop with the word “Девелоника” displayed on its screen,v8_latent_finetune,18.png
19,"Draw a picture of the major cerebrospinal fluid pathways, including vessels, cerebral ventricles, cerebrospinal canal, and meninges, and delineate the interaction of these structures with the blood-brain barrier.
",v8_latent_finetune,19.png
20,"on the cutting board there is a hamburger, fries in a paper bag, a medium rare steak, a glass of mojito. drawing dust air pigment",v10_rl_09_lcm_lora_s8r64,20.png
21,"doctors gathered around a table inspecting a brain crawling around with crab legs and tendrils, dslr",v10_rl_09_lcm_lora_s8r64,21.png
22,A massive bonfire at the center a tall stake to which a witch is tied. The witch wears a wreath of cornflowers on her head. Her eyes are blindfolded. Surrounding the bonfire is a medieval town. There are dark clouds in the sky,v10_rl_09_lcm_lora_s8r64,22.png
23,the Australian Shepherd is in the driver's seat and the person is in the passenger's seat,v10_rl_09_lcm_lora_s8r64,23.png
24,"An tall anime-style girl with white hair, yellow eyes, wearing black clothes. She is standing on a street while smoking a cigarette.",v10_rl_09_lcm_lora_s8r64,24.png
25,"A simple, clean, and modern image of an open book with a hand-drawn thank you note inside. The note reads «Thank you for your attention». An artist’s palette and brushes are neatly arranged on the table next to the book.",v10_rl_09_lcm_lora_s8r64,25.png
26,"oil on canvas, two cherries that are disco balls, leaves, mosaic art, on a pastel light red background, no shadows, in the style of rifle paper co, plain pastel light red background, cherries disco balls",v10_rl_09_lcm_lora_s8r64,26.png
27,a blonde guy with pronounced features of ancient Vikings blue eyes an elongated face light wavy hair Tall around 180 cm with an athletic build weighing about 70 kg,v8_latent_finetune,27.png
28,"a fairy with short dark-green hair wearing a white shirt and brown short overalls, she has emerald wings and no shoes, her feet are wrapped in bandages",v8_latent_finetune,28.png
29,"A small dandelion in the middle of a plain, bending under the gusts of wind yet holding on to its fluffy seeds. Gray and brown colors, meticulous drawing with precise detailing, pencil",v8_latent_finetune,29.png
30,A man and a woman mid 30s bumped into each other in a coffee shop. The womans coffee split on her wrist. She's wearing a cooperate suit while the man is wearing a casual outfit but good looking,v8_latent_finetune,30.png
31,watercolor painting of a small ginger cat next to a dirty little child against a background of men drinking at a table in gloomy tones,v10_rl_09_lcm_lora_s8r64,31.png
32,"A minimalist scene, two people in ninja masks sit and record a podcast in the world of technology from the 90s, enjoying beverages from large mugs, on the table there also lie discs with games, gamepads, gaming magazines, behind them there is a rack with figurines from movies and games as well as books and DVDs with movies, an old VHS and DVD player, an extra microphone
",v8_latent_finetune,32.png
33,"On the one side of the image there is a railroad train of happy and prosperous future, and on the another side there is a railroad train of depressive future filled with economic ruin",v10_rl_09_lcm_lora_s8r64,33.png
34,"black hood robe a girl in a hood in the desert sits meditating next to a red energy ball with hieroglyphs black and white photo across the sands black candles ufo many unusual ships in the sky girl in the center with her back to the photo add a pyramid in the background
",v8_latent_finetune,34.png
35,"Adorable cartoon-style old witch who is brewing a potion in a large cauldron and she is ominously laughing. Around her is a cupboard filled with various little bottles, skulls, spiders, and cobwebs. Next to her, there is a little witch brewing her own potion as well.",v10_rl_09_lcm_lora_s8r64,35.png
36,"In front of me was an enormous medieval city. I’m a young woman with gold-ginger hair wearing a brown-scarlet cloak, and I stood on a small trail. A multicolored parrot sat on my shoulder. We were but tiny figures against the city. ",v8_latent_finetune,36.png
37,"An image of a tall male elf with a sun-kissed olive-toned skin A single black bead earring decorates one of his ears His widely set eyes vary in color one a bright blue, the other a light green The shape of his face is triangular, marked by sharp cheekbones, a nose with a hump, and tightly-pressed lips with a V-shaped dimple His temples are neatly shaved, while his dark chestnut hair is swept back.",v10_rl_09_lcm_lora_s8r64,37.png
38,"frog in archeologist uniform is angrily crying holding exam paper which has red ""F"" alphabet on it, anime",v10_rl_09_lcm_lora_s8r64,38.png
39,"Two warships, drawn inconsistently in pencil on paper, floating in a vast ocean surrounded by thick clouds. A twentieth-century battleship drawn in thick lines, with massive guns that look more like painted blobs than actual armament. A twentieth-century destroyer drawn in thin lines, its hull blurry and unclear. The ships are surrounded by spots and lines, which could be waves, or clouds, or just random markings.",v10_rl_09_lcm_lora_s8r64,39.png
40,a volkswagen passat b6 station wagon a happy male driver behind the wheel with his wife sitting next to him in the passenger seat looking satisfied,v10_rl_09_lcm_lora_s8r64,40.png
41,"a pompous and good-natured top manager sits at his desk at a factory. he smiles and counts his salary. on the desk there is a computer, some books and disposable Cups. the director is 50 years old, but he looks much younger",v10_rl_09_lcm_lora_s8r64,41.png
42,a female tiefling with sharp harsh features scarlet skin wearing brown leather clothes with clasps black hair against white background she has long legs and daring posture ,v8_latent_finetune,42.png
43,a Scandinavian style tattoo featuring an ouroboros that resembles more a dragon with minimal detail,v8_latent_finetune,43.png
44,a white asian looking girl with short white hair dressed in goth clothes is holding a sniper rifle,v8_latent_finetune,44.png
45,A wallet next to an icebreaker on the lake.,v10_rl_09_lcm_lora_s8r64,45.png
46,"In this magical image we see an amazing sight: a little snail, like a character from a fairy tale, is dressed in a cozy orange knitted scarf and an orange knitted hat. The scarf is neatly wrapped around her neck, adding a bright accent to her natural shades of brown and beige. The snail looks very warm and comfortable, her tendrils lightly touching the ends of the scarf, giving the impression that she is enjoying her new outfit. The background of the image is neutral, allowing us to focus on this unusual combination of nature and needlework. This image reminds us how important it is to take care of small creatures and decorate the world around us.",v8_latent_finetune,46.png
47,a 20 mm diameter corrugated PVC pipe is affixed securely with metal brackets to a brick wall,v8_latent_finetune,47.png
48,"an automated testing department logo with one element, in a flat style and without platitudes, 1:1 format",v8_latent_finetune,48.png
49,"a man with a tangle of thoughts in his head, a background of laughing eyeless faces in a terrible grimace jumbled together in bright colors",v8_latent_finetune,49.png
50,"A mesmerizing photograph of a boy and girl sitting on a sheet of ice, captivated by a television perched on top of it. The TV displays a fiery scene, creating a striking contrast between the cold, frosty surroundings and the warm, fiery display. The distant crowd, gathered in the background, adds a sense of wonder and excitement to the unusual spectacle., photo, cinematic",v10_rl_09_lcm_lora_s8r64,50.png
51,a soap set consisting of various flowers like roses daisies hyacinths,v10_rl_09_lcm_lora_s8r64,51.png
52,"A hyper-realistic character of a pair of cherries, dressed in a delicate ballerina outfit, twirling gracefully. The ballet stage setting is softly lit, with detailed textures and shadows creating a sense of movement and elegance.",v10_rl_09_lcm_lora_s8r64,52.png
53,"A cute fluffy white mouse crying he has had an argument with a cute fluffy ginger mouse, on a balcony, high detail, glow, high resolution, cute drawing. make it clear that they miss each other very much. the ginger mouse is slightly bigger than the white one",v10_rl_09_lcm_lora_s8r64,53.png
54,"
A LLC resonator is a resonant circuit consisting of two inductances and one capacitance. It is located directly in front of the power transformer.

￼

The core of the resonator is a pair of capacitor-inductance (LR, CR). Another coil — the magnetizing inductance of the power transformer (LM) — is added to the circuit, allowing voltage regulation under light load conditions.",v8_latent_finetune,54.png
55,"3D, a rectangular box floating mid-air, no background, high detail, hyperrealism, striped pajama texture, side pocket, warm shades",v8_latent_finetune,55.png
56,"plush orange and green baby dragons, cats, and capybaras with backpacks in a winter evening city decorated for the New Year",v10_rl_09_lcm_lora_s8r64,56.png
57,a house has panoramic windows and an outdoor lounge area on the second floor and on the territory of the plot there is an eco-friendly chicken coop with hens and eggs and a paddock with mini pigs,v10_rl_09_lcm_lora_s8r64,57.png
58,The image depicts four mountains. The left mountain painted red is the closest to the viewer. It is overlapped by a yellow mountain on the right. On the left there are tops of white mountains visible behind the red mountains. A black mountain can be seen behind the yellow mountain. Dark blue sky covers the remaining space.,v10_rl_09_lcm_lora_s8r64,58.png
